Ind,Sample,First_Assign,First_Per,Second_Assign,Second_Per,Third_Assign,Third_Per,Fourth_Assign,Fourth_Per,Fifth_Assign,Fifth_Per
QAc-G-0081,/Arnold,Magazine,80.3,Kessler,19.566,Sugar_Loaf,0.087,Porter,0.046,Pryor,0
QAc-G-0082,/Arnold,Kessler,99.995,Magazine,0.005,Pryor,0,Sugar_Loaf,0,Porter,0
QAc-G-0083,/Arnold,Magazine,86.166,Pryor,12.94,Kessler,0.894,Porter,0,Sugar_Loaf,0
QAc-G-0001,/Bartlett,Magazine,81.025,Pryor,16.404,Kessler,2.568,Porter,0.002,Sugar_Loaf,0
QAc-G-0002,/Bartlett,Magazine,99.269,Kessler,0.727,Pryor,0.004,Porter,0,Sugar_Loaf,0
QAc-G-0285,/CBG,Magazine,93.808,Kessler,5.801,Pryor,0.378,Porter,0.013,Sugar_Loaf,0
QAc-G-0286,/CBG,Kessler,99.987,Pryor,0.012,Magazine,0,Porter,0,Sugar_Loaf,0
QAc-G-0287,/CBG,Kessler,98.192,Pryor,1.806,Magazine,0.002,Porter,0,Sugar_Loaf,0
QAc-G-0288,/CBG,Magazine,98.652,Kessler,1.342,Pryor,0.006,Porter,0,Sugar_Loaf,0
QAc-G-0289,/CBG,Kessler,99.873,Pryor,0.084,Magazine,0.043,Porter,0,Sugar_Loaf,0
QAc-G-0290,/CBG,Kessler,89.86,Pryor,10.132,Magazine,0.007,Porter,0,Sugar_Loaf,0
QAc-G-0291,/CBG,Kessler,62.757,Pryor,34.86,Magazine,2.383,Porter,0,Sugar_Loaf,0
QAc-G-0292,/CBG,Magazine,100,Kessler,0,Porter,0,Pryor,0,Sugar_Loaf,0
QAc-G-0293,/CBG,Kessler,92.709,Magazine,7.246,Pryor,0.044,Porter,0,Sugar_Loaf,0
QAc-G-0294,/CBG,Porter,96.044,Kessler,3.239,Magazine,0.717,Sugar_Loaf,0,Pryor,0
QAc-G-0295,/CBG,Kessler,79.246,Magazine,20.753,Pryor,0.001,Porter,0,Sugar_Loaf,0
QAc-G-0296,/CBG,Kessler,99.993,Pryor,0.007,Magazine,0,Porter,0,Sugar_Loaf,0
QAc-G-0297,/CBG,Kessler,99.997,Magazine,0.002,Pryor,0,Sugar_Loaf,0,Porter,0
QAc-G-0298,/CBG,Magazine,98.69,Kessler,1.298,Porter,0.007,Pryor,0.005,Sugar_Loaf,0
QAc-G-0299,/CBG,Magazine,99.838,Kessler,0.162,Porter,0,Pryor,0,Sugar_Loaf,0
QAc-G-0300,/CBG,Porter,99.909,Kessler,0.09,Pryor,0.001,Magazine,0,Sugar_Loaf,0
QAc-G-0301,/CBG,Magazine,99.57,Pryor,0.377,Kessler,0.051,Sugar_Loaf,0.001,Porter,0
QAc-G-0302,/CBG,Magazine,99.982,Porter,0.018,Kessler,0,Sugar_Loaf,0,Pryor,0
QAc-G-0303,/CBG,Magazine,67.628,Kessler,32.354,Porter,0.012,Pryor,0.005,Sugar_Loaf,0
QAc-G-0304,/CBG,Magazine,96.208,Kessler,3.791,Pryor,0.001,Porter,0,Sugar_Loaf,0
QAc-G-0305,/CBG,Magazine,53.646,Kessler,46.354,Pryor,0,Sugar_Loaf,0,Porter,0
QAc-G-0306,/CBG,Kessler,99.442,Pryor,0.557,Magazine,0.001,Sugar_Loaf,0,Porter,0
QAc-G-0307,/CBG,Magazine,99.562,Kessler,0.438,Pryor,0,Porter,0,Sugar_Loaf,0
QAc-G-0308,/CBG,Kessler,99.982,Magazine,0.017,Sugar_Loaf,0.001,Pryor,0,Porter,0
QAc-G-0309,/CBG,Kessler,99.828,Pryor,0.132,Magazine,0.04,Porter,0,Sugar_Loaf,0
QAc-G-0310,/CBG,Kessler,76.461,Magazine,13.754,Pryor,9.777,Porter,0.008,Sugar_Loaf,0
QAc-G-0311,/CBG,Kessler,100,Pryor,0,Magazine,0,Sugar_Loaf,0,Porter,0
QAc-G-0312,/CBG,Magazine,87.791,Kessler,12.208,Pryor,0,Sugar_Loaf,0,Porter,0
QAc-G-0313,/CBG,Porter,96.773,Magazine,1.903,Kessler,1.293,Sugar_Loaf,0.029,Pryor,0.002
QAc-G-0314,/CBG,Porter,94.407,Kessler,4.466,Magazine,1.122,Sugar_Loaf,0.005,Pryor,0
QAc-G-0315,/CBG,Kessler,99.347,Porter,0.652,Magazine,0,Pryor,0,Sugar_Loaf,0
QAc-G-0316,/CBG,Kessler,98.224,Porter,0.921,Magazine,0.854,Pryor,0.001,Sugar_Loaf,0
