Pop,Ind,Sample_Pop,Assign_Pop_1,Percent_1,Assign_Pop_2,Percent_2,Assign_Pop_3,Percent_3,Assign_Pop_4,Percent_4,Assign_Pop_5,Percent_5
/DBG,QAc-G-0045,Porter,Porter,98.269,Kessler,1.477,Sugarloaf,0.237,Magazine,0.017,Pryor,0
/DBG,QAc-G-0049,Pryor,Magazine,97.538,Porter,2.458,Sugarloaf,0.003,Pryor,0.001,Kessler,0.001
/DBG,QAc-G-0050,Pryor,Magazine,99.992,Porter,0.008,Kessler,0,Pryor,0,Sugarloaf,0
/DBG,QAc-G-0052,Pryor,Magazine,92.804,Kessler,7.195,Sugarloaf,0,Porter,0,Pryor,0
/DBG,QAc-G-0053,Pryor,Kessler,99.876,Sugarloaf,0.123,Porter,0.001,Magazine,0,Pryor,0
/DBG,QAc-G-0054,Pryor,Kessler,99.998,Sugarloaf,0.002,Porter,0,Pryor,0,Magazine,0
/DBG,QAc-G-0056,Pryor,Kessler,96.529,Porter,2.804,Magazine,0.657,Sugarloaf,0.011,Pryor,0
/FGT,QAc-G-0276,Magazine,Kessler,99.449,Porter,0.549,Magazine,0.001,Sugarloaf,0,Pryor,0
/FGT,QAc-G-0279,Porter,Kessler,78.706,Porter,13.671,Magazine,7.484,Sugarloaf,0.138,Pryor,0
/FGT,QAc-G-0280,Porter,Kessler,68.401,Porter,30.766,Magazine,0.833,Sugarloaf,0,Pryor,0
/FGT,QAc-G-0281,Pryor,Pryor,64.559,Porter,35.424,Kessler,0.012,Magazine,0.005,Sugarloaf,0
/HBG,QAc-G-0018,Porter,Magazine,98.638,Porter,1.117,Kessler,0.244,Sugarloaf,0,Pryor,0
/HBG,QAc-G-0019,Porter,Kessler,54.536,Magazine,41.321,Porter,3.022,Sugarloaf,1.122,Pryor,0
/HBG,QAc-G-0020,Porter,Kessler,99.996,Porter,0.004,Sugarloaf,0,Magazine,0,Pryor,0
/HBG,QAc-G-0021,Pryor,Porter,99.946,Kessler,0.054,Magazine,0,Sugarloaf,0,Pryor,0
/HBG,QAc-G-0023,Pryor,Pryor,99.98,Sugarloaf,0.012,Magazine,0.005,Porter,0.002,Kessler,0.001
/HBG,QAc-G-0016,Porter,Magazine,99.347,Kessler,0.588,Sugarloaf,0.065,Porter,0.001,Pryor,0
/HBG,QAc-G-0017,Porter,Magazine,99.984,Porter,0.015,Sugarloaf,0.001,Pryor,0,Kessler,0
/Meis,QAc-G-0250,,Porter,66.576,Kessler,33.422,Magazine,0.002,Sugarloaf,0,Pryor,0
/MBG,QAc-G-0003,,Magazine,67.404,Porter,18.705,Kessler,13.888,Sugarloaf,0.002,Pryor,0
/MBG,QAc-G-0004,,Magazine,100,Pryor,0,Kessler,0,Sugarloaf,0,Porter,0
/MBG,QAc-G-0005,,Magazine,99.999,Porter,0.001,Kessler,0,Sugarloaf,0,Pryor,0
/MBG,QAc-G-0006,,Magazine,99.652,Kessler,0.348,Pryor,0,Porter,0,Sugarloaf,0
/Moore,QAc-G-0283,,Kessler,99.997,Sugarloaf,0.003,Magazine,0,Pryor,0,Porter,0
/MA,QAc-G-0265,Pryor,Sugarloaf,50.21,Magazine,47.928,Porter,1.575,Kessler,0.287,Pryor,0.001
/MA,QAc-G-0266,Pryor,Magazine,99.631,Porter,0.263,Sugarloaf,0.068,Kessler,0.032,Pryor,0.006
/MA,QAc-G-0267,Magazine,Magazine,83.655,Kessler,12.641,Porter,3.704,Pryor,0,Sugarloaf,0
/MA,QAc-G-0268,Magazine,Magazine,90.862,Porter,7.226,Kessler,1.912,Pryor,0,Sugarloaf,0
/MA,QAc-G-0269,Magazine,Kessler,98.529,Magazine,1.464,Porter,0.007,Sugarloaf,0,Pryor,0
/MA,QAc-G-0270,Porter,Kessler,55.281,Porter,26.579,Sugarloaf,18.13,Magazine,0.011,Pryor,0
/MA,QAc-G-0271,Porter,Porter,99.999,Sugarloaf,0.001,Magazine,0,Kessler,0,Pryor,0
/MA,QAc-G-0273,Magazine,Porter,50.853,Magazine,49.142,Pryor,0.005,Sugarloaf,0,Kessler,0
/MA,QAc-G-0274,Pryor ,Magazine,88.291,Porter,11.709,Kessler,0,Sugarloaf,0,Pryor,0
/Peckerwood,QAc-G-0251,Porter,Sugarloaf,97.864,Kessler,1.726,Magazine,0.409,Porter,0,Pryor,0
/Peckerwood,QAc-G-0252,Porter,Kessler,98.669,Porter,0.765,Sugarloaf,0.566,Magazine,0,Pryor,0
/Peckerwood,QAc-G-0253,Pryor,Kessler,89.552,Magazine,10.443,Pryor,0.004,Porter,0.002,Sugarloaf,0
/Peckerwood,QAc-G-0254,Pryor,Porter,91.801,Magazine,7.214,Pryor,0.703,Sugarloaf,0.175,Kessler,0.107
/Peckerwood,QAc-G-0255,Magazine,Porter,71.302,Magazine,14.829,Pryor,12.422,Sugarloaf,1.188,Kessler,0.259
/Peckerwood,QAc-G-0256,Magazine,Magazine,99.988,Porter,0.011,Pryor,0.001,Sugarloaf,0,Kessler,0
/Peckerwood,QAc-G-0257,Magazine,Magazine,99.999,Sugarloaf,0,Kessler,0,Porter,0,Pryor,0
/Peckerwood,QAc-G-0259,Magazine,Kessler,100,Sugarloaf,0,Pryor,0,Magazine,0,Porter,0
/Peckerwood,QAc-G-0260,Magazine,Kessler,99.99,Porter,0.007,Magazine,0.003,Pryor,0,Sugarloaf,0
/Peckerwood,QAc-G-0261,Magazine,Magazine,99.999,Porter,0.001,Kessler,0,Pryor,0,Sugarloaf,0
/TMA,QAc-G-0010,,Magazine,93.068,Kessler,6.706,Porter,0.137,Sugarloaf,0.089,Pryor,0
/TMA,QAc-G-0011,,Kessler,98.565,Sugarloaf,1.131,Porter,0.2,Magazine,0.085,Pryor,0.019
