,,,rank,score,,rank,score,,rank,score,,rank,score,,rank,score,,Porter,Magazine,Pryor,SL,Kessler,Nb. of loci,Used loci,Missing loci
,Assigned sample,,1,%,,2,%,,3,%,,4,%,,5,%,,'-log(L),'-log(L),'-log(L),'-log(L),'-log(L),,,
QAc-G-0313,/CBG,,Magazine,99.483,,Porter,0.491,,SL,0.019,,Kessler,0.007,,Pryor,0,,31.656,29.349,39.588,33.07,33.486,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0314,/CBG,,SL,79.003,,Porter,17.01,,Kessler,3.942,,Pryor,0.033,,Magazine,0.013,,34.473,37.578,37.191,33.806,35.108,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0315,/CBG,,Kessler,99.999,,Porter,0.001,,SL,0,,Magazine,0,,Pryor,0,,39.309,42.984,43.332,40.678,34.321,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0316,/CBG,,Kessler,71.509,,Magazine,27.135,,Porter,1.251,,SL,0.105,,Pryor,0.001,,38.074,36.738,41.434,39.151,36.317,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0032,/DBG,Magazine,Magazine,97.103,,Kessler,2.897,,Pryor,0,,SL,0,,Porter,0,,46.279,35.478,41.878,44.01,37.003,14, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  QpZAG9 - 1  , PIE125 - 1  
QAc-G-0033,/DBG,Porter Mtn,SL,98.651,,Porter,1.32,,Kessler,0.029,,Magazine,0.001,,Pryor,0,,31.304,34.646,37.635,29.431,32.964,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0034,/DBG,Porter Mtn,SL,73.311,,Magazine,24.44,,Porter,2.156,,Kessler,0.093,,Pryor,0,,36.758,35.704,41.208,35.227,38.123,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0035,/DBG,Porter Mtn,Kessler,90.34,,SL,9.233,,Porter,0.426,,Pryor,0,,Magazine,0,,35.649,38.849,38.613,34.313,33.323,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0036,/DBG,Porter Mtn,Kessler,87.397,,SL,12.6,,Porter,0.003,,Magazine,0,,Pryor,0,,36.689,37.938,43.739,33.123,32.282,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0037,/DBG,Porter Mtn,Kessler,99.999,,Porter,0.001,,Magazine,0,,SL,0,,Pryor,0,,36.177,39.746,42.612,40.001,31.072,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0038,/DBG,Porter Mtn,Kessler,99.067,,Porter,0.929,,SL,0.003,,Magazine,0.001,,Pryor,0,,31.774,34.955,40.689,34.267,29.746,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0039,/DBG,Porter Mtn,Porter,99.695,,SL,0.286,,Kessler,0.019,,Magazine,0,,Pryor,0,,30.965,36.398,38.76,33.508,34.686,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0040,/DBG,Porter Mtn,Kessler,71.068,,Porter,28.922,,SL,0.009,,Magazine,0.001,,Pryor,0,,33.66,38.1,41.14,37.168,33.269,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
