,,,rank,score,,rank,score,,rank,score,,rank,score,,rank,score,,Porter,Magazine,Pryor,SL,Kessler,Nb. of loci,Used loci,Missing loci
,Assigned sample,,1,%,,2,%,,3,%,,4,%,,5,%,,'-log(L),'-log(L),'-log(L),'-log(L),'-log(L),,,
QAc-G-0148,/TMA,Magazine,Magazine,83.632,,Kessler,15.145,,Porter,1.222,,SL,0,,Pryor,0,,33.649,31.814,40.976,37.156,32.556,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0150,/TMA,Magazine,Kessler,54.261,,Magazine,44.308,,Porter,1.391,,Pryor,0.02,,SL,0.02,,34.534,33.031,36.368,36.387,32.943,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0162,/TMA,Magazine,Kessler,99.986,,Porter,0.007,,Magazine,0.007,,SL,0,,Pryor,0,,32.766,32.807,41.096,34.58,28.624,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0165,/TMA,Magazine,Magazine,92.588,,Kessler,6.097,,SL,1.061,,Porter,0.254,,Pryor,0,,34.347,31.785,39.458,33.726,32.966,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0167,/TMA,Magazine,Kessler,99.909,,Porter,0.062,,Magazine,0.028,,SL,0,,Pryor,0,,33.171,33.513,40.514,36.164,29.967,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0174,/TMA,Magazine,Magazine,96.585,,Porter,3.414,,Kessler,0.002,,SL,0,,Pryor,0,,30.156,28.704,36.885,36.573,33.453,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0188,/TMA,Magazine,Porter,38.854,,SL,34.405,,Kessler,26.709,,Magazine,0.033,,Pryor,0,,35.865,38.942,43.026,35.918,36.028,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0207,/TMA,Pryor,Magazine,95.749,,Porter,4.171,,Pryor,0.047,,Kessler,0.033,,SL,0,,35.61,34.249,37.561,41.17,37.712,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0213,/TMA,Pryor,Kessler,98.038,,Pryor,1.903,,Magazine,0.058,,Porter,0,,SL,0,,38.799,36.588,35.072,39.393,33.361,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0216,/TMA,Pryor,Magazine,99.996,,Kessler,0.003,,Porter,0.001,,Pryor,0,,SL,0,,32.786,27.928,34.737,34.907,32.482,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0217,/TMA,Pryor,SL,56.66,,Pryor,43.299,,Magazine,0.028,,Porter,0.013,,Kessler,0,,38.256,37.926,34.741,34.624,39.952,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0227,/TMA,Porter,Kessler,54.22,,Magazine,44.83,,Porter,0.894,,SL,0.055,,Pryor,0,,36.978,35.278,41.625,38.187,35.195,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0228,/TMA,Porter,Kessler,99.969,,SL,0.027,,Porter,0.005,,Magazine,0,,Pryor,0,,32.201,34.784,40.398,31.439,27.863,14, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , FIR013 - 1  
QAc-G-0229,/TMA,Porter,Porter,99.792,,Kessler,0.148,,SL,0.046,,Magazine,0.015,,Pryor,0,,29.481,33.308,36.809,32.819,32.311,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0230,/TMA,Porter,Porter,99.713,,Kessler,0.275,,SL,0.007,,Magazine,0.006,,Pryor,0,,28.189,32.422,34.008,32.348,30.749,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0232,/TMA,Porter,Porter,95.288,,Kessler,4.709,,SL,0.003,,Magazine,0,,Pryor,0,,33.753,40.531,42.055,38.261,35.059,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0233,/TMA,Porter,Kessler,97.674,,Pryor,2.323,,Porter,0.002,,Magazine,0.001,,SL,0,,38.971,39.343,35.897,39.598,34.273,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0234,/TMA,Porter,Porter,86.518,,Kessler,13.478,,SL,0.003,,Magazine,0,,Pryor,0,,29.37,36.938,38.071,33.775,30.177,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0236,/TMA,Porter,Kessler,99.922,,Magazine,0.066,,Porter,0.011,,SL,0.001,,Pryor,0,,32.145,31.365,39.039,33.124,28.184,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0237,/TMA,Porter,Porter,53.847,,SL,45.464,,Kessler,0.683,,Magazine,0.006,,Pryor,0,,30.493,34.462,36.471,30.567,32.39,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0241,/TMA,Porter,Porter,78.958,,Magazine,16.507,,SL,4.511,,Kessler,0.023,,Pryor,0.001,,32.939,33.619,37.939,34.183,36.471,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0243,/TMA,Porter,Porter,92.631,,Kessler,7.363,,SL,0.003,,Magazine,0.003,,Pryor,0,,30.346,34.875,37.165,34.796,31.445,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0248,/TMA,,Kessler,99.9,,Porter,0.076,,Magazine,0.015,,SL,0.01,,Pryor,0,,32.956,33.667,38.488,33.857,29.837,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0249,/Trompenburg,,Porter,76.348,,Kessler,12.662,,SL,10.151,,Magazine,0.828,,Pryor,0.012,,31.768,33.733,35.564,32.644,32.548,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0025,/USNA,Magazine,Magazine,99.241,,SL,0.432,,Pryor,0.185,,Porter,0.111,,Kessler,0.032,,38.95,35.997,38.726,38.358,39.495,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0028,/USNA,Magazine,Porter,53.184,,Kessler,45.749,,SL,1.054,,Pryor,0.013,,Magazine,0,,35.007,43.072,38.61,36.709,35.072,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0275,/UWBG,,Kessler,90.24,,Pryor,5.821,,Magazine,3.849,,Porter,0.09,,SL,0,,38.744,37.113,36.933,44.819,35.743,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0263,/Plze?,,Magazine,82.504,,SL,14.871,,Kessler,1.889,,Porter,0.737,,Pryor,0,,35.044,32.995,43.026,33.739,34.635,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
