Ind,Garden,Sampled From,#1,,,,,,,,,,,,,,,,,,,,,,
QAc-G-0082,/Arnold,"Sugarloaf Mountain, Rim of east facing bluff and adjacent glade-like area on lookout",Kessler,100,,Magazine,0,,Pryor,0,,SL,0,,Porter,0,,46.873,41.807,43.771,44.978,34.353,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0083,/Arnold,"Sugarloaf Mountain, Rim of east facing bluff and adjacent glade-like area on lookout",Kessler,94.617,,Magazine,5.374,,Pryor,0.009,,SL,0,,Porter,0,,43.279,37.35,40.133,41.884,36.104,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0001,/Bartlett,,Magazine,99.986,,Kessler,0.01,,Pryor,0.005,,Porter,0,,SL,0,,38.076,32.163,36.501,44.607,36.185,13, G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 0C11 - 1  1G13 - 1  
QAc-G-0002,/Bartlett,,Magazine,65.639,,Kessler,34.253,,Pryor,0.107,,Porter,0,,SL,0,,46.262,38.935,41.722,51.325,39.217,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0285,/CBG,,Kessler,99.68,,Magazine,0.32,,Pryor,0,,Porter,0,,SL,0,,43.422,36.708,43.315,44.595,34.214,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0286,/CBG,,Magazine,76.362,,Kessler,22.503,,Porter,1.134,,Pryor,0.002,,SL,0,,35.894,34.066,38.772,43.886,34.596,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0287,/CBG,,Pryor,55.826,,Kessler,24.232,,Porter,10.279,,Magazine,9.663,,SL,0,,37.783,37.81,37.048,46.956,37.411,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0288,/CBG,,Magazine,82.182,,Kessler,16.212,,Pryor,1.602,,Porter,0.005,,SL,0,,39.226,35.005,36.715,42.797,35.71,14, 0C11 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 1G13 - 1  
QAc-G-0289,/CBG,,Magazine,93.728,,Kessler,5.286,,Porter,0.809,,Pryor,0.176,,SL,0,,37.499,35.435,38.161,50.892,36.684,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0290,/CBG,,Magazine,50.684,,Porter,47.966,,Pryor,1.239,,Kessler,0.11,,SL,0,,35.357,35.333,36.945,46.907,37.998,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0291,/CBG,,Magazine,86.484,,Kessler,13.287,,Pryor,0.164,,Porter,0.064,,SL,0,,38.836,35.705,38.426,49.179,36.518,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0292,/CBG,,Magazine,81.735,,Kessler,18.265,,Porter,0,,SL,0,,Pryor,0,,36.829,31.545,44.253,42.112,32.196,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0293,/CBG,,Magazine,94.732,,Kessler,5.268,,Pryor,0,,Porter,0,,SL,0,,45.394,37.226,44.11,47.138,38.481,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0294,/CBG,,Porter,99.843,,Kessler,0.116,,Magazine,0.041,,SL,0,,Pryor,0,,33.286,36.674,42.372,40.936,36.221,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0295,/CBG,,Kessler,91.725,,Magazine,8.275,,Pryor,0,,SL,0,,Porter,0,,47.564,38.421,45.646,45.722,37.377,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0296,/CBG,,Kessler,99.999,,Porter,0,,Magazine,0,,Pryor,0,,SL,0,,41.065,41.447,42.144,42.246,35.598,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0297,/CBG,,Kessler,100,,Magazine,0,,Porter,0,,Pryor,0,,SL,0,,44.853,41.877,45.32,47.944,33.7,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0298,/CBG,,Kessler,99.68,,Porter,0.238,,Magazine,0.082,,SL,0,,Pryor,0,,36.365,36.826,40.401,39.729,33.743,14, 0C11 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 1G13 - 1  
QAc-G-0299,/CBG,,Kessler,91.828,,Magazine,8.163,,Porter,0.009,,Pryor,0,,SL,0,,37.534,34.554,40.503,44.422,33.503,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0300,/CBG,,Porter,65.237,,Kessler,33.568,,SL,1.194,,Pryor,0.001,,Magazine,0,,36.935,42.342,41.914,38.672,37.223,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0301,/CBG,,Kessler,68.487,,Magazine,26.47,,Porter,5.025,,Pryor,0.018,,SL,0,,40.177,39.455,42.626,44.231,39.043,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0302,/CBG,,Magazine,97.472,,Kessler,2.526,,Porter,0.001,,SL,0,,Pryor,0,,42.462,37.579,47.606,45.09,39.166,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
