Ind,Garden,First_Assign,Sample_Pop,First_Per,,2,%,,3,%,,4,%,,'-log(L),'-log(L),'-log(L),'-log(L),,,
QAc-G-0083,/Arnold,Pryor,Magazine,99.968,,Magazine,0.032,,Sugarloaf,0,,Porter,0,,44.665,40.456,36.954,43.17,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0001,/Bartlett,Pryor,NONE,90.339,,Magazine,9.657,,Porter,0.004,,Sugarloaf,0,,38.825,35.447,34.476,46.095,13, G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 0C11 - 1  1G13 - 1  
QAc-G-0002,/Bartlett,Pryor,NONE,96.349,,Magazine,3.204,,Porter,0.447,,Sugarloaf,0,,47.019,46.164,44.685,52.758,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0285,/CBG,Pryor,NONE,99.967,,Porter,0.021,,Magazine,0.012,,Sugarloaf,0,,40.472,40.706,36.794,46.518,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0286,/CBG,Pryor,NONE,87.716,,Porter,7.361,,Magazine,4.86,,Sugarloaf,0.063,,40.279,40.459,39.202,42.347,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0287,/CBG,Magazine,NONE,90.444,,Pryor,9.507,,Porter,0.049,,Sugarloaf,0,,44.696,41.428,42.406,48.158,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0288,/CBG,Magazine,NONE,99.942,,Pryor,0.049,,Porter,0.009,,Sugarloaf,0,,42.068,38.008,41.319,45.898,14, 0C11 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 1G13 - 1  
QAc-G-0289,/CBG,Pryor,NONE,54.045,,Magazine,27.109,,Porter,18.846,,Sugarloaf,0,,42.419,42.261,41.961,49.455,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0290,/CBG,Magazine,NONE,90.139,,Porter,5.55,,Pryor,4.312,,Sugarloaf,0,,42.173,40.963,42.283,48.692,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0291,/CBG,Magazine,NONE,53.725,,Pryor,45.786,,Porter,0.489,,Sugarloaf,0,,42.717,40.676,40.745,49.052,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0292,/CBG,Magazine,NONE,97.213,,Pryor,2.738,,Porter,0.049,,Sugarloaf,0,,40.676,37.378,38.928,45.292,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0293,/CBG,Pryor,NONE,99.354,,Magazine,0.545,,Porter,0.101,,Sugarloaf,0,,43.407,42.675,40.415,46.998,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0294,/CBG,Porter,NONE,99.999,,Magazine,0.001,,Sugarloaf,0,,Pryor,0,,37.151,42.03,46.259,43.352,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0295,/CBG,Magazine,NONE,99.932,,Pryor,0.058,,Sugarloaf,0.01,,Porter,0,,49.646,43.098,46.333,47.098,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0296,/CBG,Magazine,NONE,99.973,,Pryor,0.027,,Porter,0,,Sugarloaf,0,,46.856,41.018,44.59,47.058,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0297,/CBG,Magazine,NONE,99.955,,Pryor,0.045,,Porter,0,,Sugarloaf,0,,50.346,40.11,43.46,52.74,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0298,/CBG,Magazine,NONE,92.602,,Porter,6.213,,Pryor,1.185,,Sugarloaf,0,,38.441,37.267,39.161,43.913,14, 0C11 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 1G13 - 1  
QAc-G-0299,/CBG,Magazine,NONE,99.876,,Sugarloaf,0.118,,Porter,0.004,,Pryor,0.002,,44.724,40.316,45.058,43.244,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
