Assigned sample,Ind,Sample_Pop,Assign_Pop_1,Percent_1,Assign_Pop_2,Percent_2,Assign_Pop_3,Percent_3,Assign_Pop_4,Percent_4,Assign_Pop_5,Percent_5
/TMA,QAc-G-0229,Porter,Porter,99.541,Magazine1,0.266,Kessler,0.147,Sugarloaf,0.046,Magazine2,0
/TMA,QAc-G-0230,Porter,Porter,99.702,Kessler,0.275,Magazine1,0.017,Sugarloaf,0.007,Pryor,0
/TMA,QAc-G-0232,Porter,Porter,95.217,Kessler,4.705,Magazine1,0.074,Sugarloaf,0.003,Magazine2,0
/TMA,QAc-G-0233,Porter,Kessler,97.646,Pryor,2.322,Magazine1,0.029,Porter,0.002,Sugarloaf,0
/TMA,QAc-G-0234,Porter,Porter,86.516,Kessler,13.478,Sugarloaf,0.003,Magazine1,0.002,Magazine2,0
/TMA,QAc-G-0236,Porter,Kessler,96.979,Magazine1,3.004,Porter,0.011,Magazine2,0.005,Sugarloaf,0.001
/TMA,QAc-G-0237,Porter,Porter,53.842,Sugarloaf,45.46,Kessler,0.683,Magazine1,0.015,Magazine2,0
/TMA,QAc-G-0241,Porter,Magazine1,98.853,Porter,1.085,Sugarloaf,0.062,Kessler,0,Magazine2,0
/TMA,QAc-G-0243,Porter,Porter,92.626,Kessler,7.362,Magazine1,0.007,Sugarloaf,0.003,Magazine2,0.001
/TMA,QAc-G-0248,,Kessler,98.386,Magazine1,1.529,Porter,0.075,Sugarloaf,0.009,Magazine2,0
/Trompenburg,QAc-G-0249,,Porter,76.983,Kessler,12.767,Sugarloaf,10.235,Pryor,0.012,Magazine2,0.003
/USNA,QAc-G-0025,Magazine,Magazine1,99.66,Magazine2,0.192,Sugarloaf,0.084,Pryor,0.036,Porter,0.022
/USNA,QAc-G-0028,Magazine,Porter,53.183,Kessler,45.749,Sugarloaf,1.054,Pryor,0.013,Magazine1,0
/UWBG,QAc-G-0275,,Magazine1,90.125,Kessler,9.139,Pryor,0.59,Magazine2,0.137,Porter,0.009
/Plze,QAc-G-0263,,Sugarloaf,46.946,Magazine1,42.828,Kessler,5.963,Porter,2.326,Magazine2,1.936
