Ind,Garden,First_Assign,%,,2,%,,3,%,,4,%,,5,%,,'-log(L),'-log(L),'-log(L),'-log(L),'-log(L),,,
QAc-G-0081,Arnold,MagazineMountain_W,95.457,,Sugar_Loaf_Mountains_W,4.396,,Kessler_Mountain_W,0.147,,PryorMountain_W,0,,PorterMountain_W,0,,46.323,40.018,46.13,41.354,42.831,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0082,Arnold,Kessler_Mountain_W,100,,MagazineMountain_W,0,,PryorMountain_W,0,,Sugar_Loaf_Mountains_W,0,,PorterMountain_W,0,,46.873,41.807,43.771,44.978,34.353,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0083,Arnold,Kessler_Mountain_W,94.617,,MagazineMountain_W,5.374,,PryorMountain_W,0.009,,Sugar_Loaf_Mountains_W,0,,PorterMountain_W,0,,43.279,37.35,40.133,41.884,36.104,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0001,Bartlett,MagazineMountain_W,99.986,,Kessler_Mountain_W,0.01,,PryorMountain_W,0.005,,PorterMountain_W,0,,Sugar_Loaf_Mountains_W,0,,38.076,32.163,36.501,44.607,36.185,13, G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 0C11 - 1  1G13 - 1  
QAc-G-0002,Bartlett,MagazineMountain_W,65.639,,Kessler_Mountain_W,34.253,,PryorMountain_W,0.107,,PorterMountain_W,0,,Sugar_Loaf_Mountains_W,0,,46.262,38.935,41.722,51.325,39.217,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0285,CBG,Kessler_Mountain_W,99.68,,MagazineMountain_W,0.32,,PryorMountain_W,0,,PorterMountain_W,0,,Sugar_Loaf_Mountains_W,0,,43.422,36.708,43.315,44.595,34.214,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0286,CBG,MagazineMountain_W,76.362,,Kessler_Mountain_W,22.503,,PorterMountain_W,1.134,,PryorMountain_W,0.002,,Sugar_Loaf_Mountains_W,0,,35.894,34.066,38.772,43.886,34.596,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0287,CBG,PryorMountain_W,55.826,,Kessler_Mountain_W,24.232,,PorterMountain_W,10.279,,MagazineMountain_W,9.663,,Sugar_Loaf_Mountains_W,0,,37.783,37.81,37.048,46.956,37.411,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0288,CBG,MagazineMountain_W,82.182,,Kessler_Mountain_W,16.212,,PryorMountain_W,1.602,,PorterMountain_W,0.005,,Sugar_Loaf_Mountains_W,0,,39.226,35.005,36.715,42.797,35.71,14, 0C11 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 1G13 - 1  
QAc-G-0289,CBG,MagazineMountain_W,93.728,,Kessler_Mountain_W,5.286,,PorterMountain_W,0.809,,PryorMountain_W,0.176,,Sugar_Loaf_Mountains_W,0,,37.499,35.435,38.161,50.892,36.684,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0290,CBG,MagazineMountain_W,50.684,,PorterMountain_W,47.966,,PryorMountain_W,1.239,,Kessler_Mountain_W,0.11,,Sugar_Loaf_Mountains_W,0,,35.357,35.333,36.945,46.907,37.998,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0291,CBG,MagazineMountain_W,86.484,,Kessler_Mountain_W,13.287,,PryorMountain_W,0.164,,PorterMountain_W,0.064,,Sugar_Loaf_Mountains_W,0,,38.836,35.705,38.426,49.179,36.518,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0292,CBG,MagazineMountain_W,81.735,,Kessler_Mountain_W,18.265,,PorterMountain_W,0,,Sugar_Loaf_Mountains_W,0,,PryorMountain_W,0,,36.829,31.545,44.253,42.112,32.196,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
