Pop,Ind,Sample_Pop,Assign_Pop_1,Correct_Assignment,Percent_1,Assign_Pop_2,Percent_2,Assign_Pop_3,Percent_3,Assign_Pop_4,Percent_4,Assign_Pop_5,Percent_5
/MBG,QAc-G-0006,,Magazine,NA,99.652,Kessler,0.348,Pryor,0,Porter,0,Sugarloaf,0
/MA,QAc-G-0266,Pryor,Magazine,N,99.631,Porter,0.263,Sugarloaf,0.068,Kessler,0.032,Pryor,0.006
/MA,QAc-G-0267,Magazine,Magazine,Y,83.655,Kessler,12.641,Porter,3.704,Pryor,0,Sugarloaf,0
/MA,QAc-G-0268,Magazine,Magazine,Y,90.862,Porter,7.226,Kessler,1.912,Pryor,0,Sugarloaf,0
/MA,QAc-G-0274,Pryor ,Magazine,N,88.291,Porter,11.709,Kessler,0,Sugarloaf,0,Pryor,0
/Peckerwood,QAc-G-0256,Magazine,Magazine,Y,99.988,Porter,0.011,Pryor,0.001,Sugarloaf,0,Kessler,0
/Peckerwood,QAc-G-0257,Magazine,Magazine,Y,99.999,Sugarloaf,0,Kessler,0,Porter,0,Pryor,0
/Peckerwood,QAc-G-0261,Magazine,Magazine,Y,99.999,Porter,0.001,Kessler,0,Pryor,0,Sugarloaf,0
/TMA,QAc-G-0010,,Magazine,NA,93.068,Kessler,6.706,Porter,0.137,Sugarloaf,0.089,Pryor,0
/TMA,QAc-G-0015,,Magazine,NA,60.827,Sugarloaf,38.887,Porter,0.281,Pryor,0.005,Kessler,0
/TMA,QAc-G-0106,,Magazine,NA,92.514,Kessler,7.417,Porter,0.069,Pryor,0,Sugarloaf,0
/TMA,QAc-G-0109,Magazine,Magazine,Y,100,Sugarloaf,0,Pryor,0,Porter,0,Kessler,0
/TMA,QAc-G-0111,Magazine,Magazine,Y,100,Kessler,0,Pryor,0,Porter,0,Sugarloaf,0
/TMA,QAc-G-0114,Magazine,Magazine,Y,100,Kessler,0,Pryor,0,Porter,0,Sugarloaf,0
/TMA,QAc-G-0115,Magazine,Magazine,Y,99.996,Pryor,0.004,Kessler,0,Porter,0,Sugarloaf,0
/TMA,QAc-G-0120,Magazine,Magazine,Y,89.584,Porter,9.395,Sugarloaf,0.855,Kessler,0.167,Pryor,0
/TMA,QAc-G-0121,Magazine,Magazine,Y,99.999,Porter,0.001,Pryor,0,Kessler,0,Sugarloaf,0
/TMA,QAc-G-0125,Magazine,Magazine,Y,100,Pryor,0,Porter,0,Kessler,0,Sugarloaf,0
/TMA,QAc-G-0126,Magazine,Magazine,Y,99.964,Porter,0.036,Kessler,0,Pryor,0,Sugarloaf,0
/TMA,QAc-G-0137,Magazine,Magazine,Y,100,Porter,0,Pryor,0,Kessler,0,Sugarloaf,0
/TMA,QAc-G-0148,Magazine,Magazine,Y,83.632,Kessler,15.145,Porter,1.222,Sugarloaf,0,Pryor,0
/TMA,QAc-G-0165,Magazine,Magazine,Y,92.588,Kessler,6.097,Sugarloaf,1.061,Porter,0.254,Pryor,0
/TMA,QAc-G-0174,Magazine,Magazine,Y,96.585,Porter,3.414,Kessler,0.002,Sugarloaf,0,Pryor,0
/TMA,QAc-G-0207,Pryor,Magazine,N,95.749,Porter,4.171,Pryor,0.047,Kessler,0.033,Sugarloaf,0
/TMA,QAc-G-0216,Pryor,Magazine,N,99.996,Kessler,0.003,Porter,0.001,Pryor,0,Sugarloaf,0
/USNA,QAc-G-0025,Magazine,Magazine,Y,99.241,Sugarloaf,0.432,Pryor,0.185,Porter,0.111,Kessler,0.032
/Plze,QAc-G-0263,,Magazine,NA,82.504,Sugarloaf,14.871,Kessler,1.889,Porter,0.737,Pryor,0
/Arnold,QAc-G-0064,Magazine,Porter,N,93.109,Magazine,5.281,Kessler,1.61,Sugarloaf,0,Pryor,0
/Arnold,QAc-G-0074,Porter,Porter,Y,97.906,Kessler,2.088,Sugarloaf,0.006,Pryor,0.001,Magazine,0
/Arnold,QAc-G-0076,Porter,Porter,Y,99.961,Magazine,0.036,Kessler,0.003,Sugarloaf,0,Pryor,0
/Arnold,QAc-G-0083,Sugarloaf,Porter,N,95.306,Magazine,4.591,Kessler,0.103,Pryor,0,Sugarloaf,0
/Bartlett,QAc-G-0001,Sugarloaf,Porter,N,78.298,Magazine,21.626,Pryor,0.075,Kessler,0.002,Sugarloaf,0
/CBG,QAc-G-0294,,Porter,NA,99.665,Kessler,0.326,Magazine,0.007,Sugarloaf,0.002,Pryor,0
/CBG,QAc-G-0299,,Porter,NA,97.442,Sugarloaf,1.557,Magazine,0.651,Kessler,0.351,Pryor,0
/CBG,QAc-G-0300,,Porter,NA,85.294,Kessler,7.905,Magazine,6.797,Sugarloaf,0.004,Pryor,0
/CBG,QAc-G-0302,,Porter,NA,92.549,Magazine,6.891,Sugarloaf,0.378,Kessler,0.121,Pryor,0.061
/CBG,QAc-G-0309,,Porter,NA,46.253,Magazine,38.908,Pryor,13.025,Sugarloaf,1.801,Kessler,0.013
/DBG,QAc-G-0039,Porter,Porter,Y,99.695,Sugarloaf,0.286,Kessler,0.019,Magazine,0,Pryor,0
/DBG,QAc-G-0045,Porter,Porter,Y,98.269,Kessler,1.477,Sugarloaf,0.237,Magazine,0.017,Pryor,0
/HBG,QAc-G-0021,Pryor,Porter,N,99.946,Kessler,0.054,Magazine,0,Sugarloaf,0,Pryor,0
/Meis,QAc-G-0250,,Porter,NA,66.576,Kessler,33.422,Magazine,0.002,Sugarloaf,0,Pryor,0
/MA,QAc-G-0271,Porter,Porter,Y,99.999,Sugarloaf,0.001,Magazine,0,Kessler,0,Pryor,0
/MA,QAc-G-0273,Magazine,Porter,N,50.853,Magazine,49.142,Pryor,0.005,Sugarloaf,0,Kessler,0
/Peckerwood,QAc-G-0254,Pryor,Porter,N,91.801,Magazine,7.214,Pryor,0.703,Sugarloaf,0.175,Kessler,0.107
/Peckerwood,QAc-G-0255,Magazine,Porter,N,71.302,Magazine,14.829,Pryor,12.422,Sugarloaf,1.188,Kessler,0.259
/TMA,QAc-G-0117,Magazine,Porter,N,54.989,Magazine,45.011,Sugarloaf,0,Kessler,0,Pryor,0
