Ind,Pop,Sample_pop,First_Assign_Pop,First_Per,Second_Assign_Pop,Second_per,Third_Assign_Pop,Third_Per,Fourth_Assign_Pop,Fourth_Per,Fifth_Assign_Pop,Fifth_Pop
QAc-G-0059,/DBG,Pryor,Kessler,100,Magazine,0,Pryor,0,Sugarloaf,0,Porter,0
QAc-G-0060,/DBG,Pryor,Magazine,94.53,Porter,4.312,Kessler,1.148,Pryor,0.009,Sugarloaf,0.001
QAc-G-0276,/FGT,Magazine,Kessler,100,Magazine,0,Porter,0,Pryor,0,Sugarloaf,0
QAc-G-0279,/FGT,Porter,Magazine,99.675,Kessler,0.322,Porter,0.002,Pryor,0.001,Sugarloaf,0
QAc-G-0280,/FGT,Porter,Magazine,100,Porter,0,Pryor,0,Kessler,0,Sugarloaf,0
QAc-G-0281,/FGT,Pryor,Kessler,95.241,Pryor,3.394,Magazine,1.364,Porter,0.001,Sugarloaf,0
QAc-G-0018,/HBG,Porter,Kessler,64.543,Magazine,20.801,Pryor,14.536,Porter,0.118,Sugarloaf,0.003
QAc-G-0019,/HBG,Porter,Porter,99.182,Magazine,0.491,Kessler,0.269,Pryor,0.057,Sugarloaf,0
QAc-G-0020,/HBG,Porter,Porter,44.848,Kessler,36.734,Magazine,18.38,Sugarloaf,0.038,Pryor,0
QAc-G-0021,/HBG,Pryor,Kessler,98.654,Porter,1.345,Magazine,0.001,Sugarloaf,0,Pryor,0
QAc-G-0022,/HBG,Pryor,Kessler,99.999,Sugarloaf,0.001,Porter,0,Magazine,0,Pryor,0
QAc-G-0023,/HBG,Pryor,Kessler,99.959,Pryor,0.041,Magazine,0,Porter,0,Sugarloaf,0
QAc-G-0024,/HBG,Pryor,Kessler,97.62,Pryor,1.654,Magazine,0.704,Porter,0.022,Sugarloaf,0
QAc-G-0016,/HBG,Porter,Magazine,99.994,Kessler,0.006,Sugarloaf,0,Porter,0,Pryor,0
QAc-G-0017,/HBG,Porter,Kessler,99.958,Porter,0.024,Sugarloaf,0.014,Magazine,0.004,Pryor,0
QAc-G-0250,/Meis,NONE,Kessler,96.588,Porter,2.939,Magazine,0.472,Pryor,0.001,Sugarloaf,0
QAc-G-0003,/MBG,NONE,Kessler,99.988,Magazine,0.012,Porter,0,Pryor,0,Sugarloaf,0
QAc-G-0004,/MBG,NONE,Kessler,99.231,Magazine,0.769,Pryor,0,Porter,0,Sugarloaf,0
QAc-G-0005,/MBG,NONE,Kessler,99.679,Pryor,0.294,Porter,0.023,Magazine,0.003,Sugarloaf,0
QAc-G-0006,/MBG,NONE,Magazine,99.962,Kessler,0.038,Porter,0,Pryor,0,Sugarloaf,0
QAc-G-0283,/Moore,NONE,Kessler,100,Magazine,0,Sugarloaf,0,Pryor,0,Porter,0
QAc-G-0265,/MA,Pryor,Kessler,99.638,Pryor,0.361,Porter,0.001,Magazine,0,Sugarloaf,0
QAc-G-0266,/MA,Pryor,Kessler,69.91,Magazine,30.053,Pryor,0.037,Porter,0,Sugarloaf,0
QAc-G-0267,/MA,Magazine,Kessler,100,Magazine,0,Sugarloaf,0,Pryor,0,Porter,0
QAc-G-0268,/MA,Magazine,Magazine,85.945,Kessler,14.054,Porter,0,Pryor,0,Sugarloaf,0
QAc-G-0269,/MA,Magazine,Magazine,95.866,Kessler,4.127,Pryor,0.004,Porter,0.003,Sugarloaf,0
QAc-G-0270,/MA,Pryor,Porter,60.755,Kessler,39.227,Pryor,0.018,Magazine,0,Sugarloaf,0
QAc-G-0271,/MA,Pryor,Porter,99.282,Kessler,0.65,Magazine,0.068,Pryor,0,Sugarloaf,0
QAc-G-0272,/MA,Pryor,Magazine,99.946,Kessler,0.052,Porter,0.002,Sugarloaf,0,Pryor,0
QAc-G-0273,/MA,Magazine,Pryor,84.241,Magazine,15.746,Kessler,0.014,Porter,0,Sugarloaf,0
QAc-G-0274,/MA,Pryor,Pryor,99.731,Magazine,0.2,Porter,0.069,Kessler,0,Sugarloaf,0
QAc-G-0251,/Peckerwood,Porter,Kessler,99.963,Porter,0.035,Magazine,0.002,Sugarloaf,0,Pryor,0
QAc-G-0252,/Peckerwood,Porter,Kessler,95.908,Porter,3.329,Sugarloaf,0.631,Magazine,0.132,Pryor,0
QAc-G-0253,/Peckerwood,Pryor,Pryor,99.698,Magazine,0.256,Kessler,0.046,Porter,0,Sugarloaf,0
QAc-G-0254,/Peckerwood,Pryor,Kessler,96.906,Pryor,2.786,Magazine,0.308,Porter,0,Sugarloaf,0
QAc-G-0255,/Peckerwood,Magazine,Kessler,99.869,Pryor,0.101,Magazine,0.029,Porter,0.001,Sugarloaf,0
QAc-G-0256,/Peckerwood,Magazine,Magazine,100,Porter,0,Kessler,0,Pryor,0,Sugarloaf,0
QAc-G-0257,/Peckerwood,Magazine,Kessler,96.458,Magazine,3.516,Pryor,0.026,Porter,0,Sugarloaf,0
QAc-G-0258,/Peckerwood,Magazine,Kessler,99.513,Magazine,0.487,Sugarloaf,0,Porter,0,Pryor,0
QAc-G-0259,/Peckerwood,Magazine,Kessler,100,Magazine,0,Sugarloaf,0,Porter,0,Pryor,0
QAc-G-0260,/Peckerwood,Magazine,Kessler,99.999,Magazine,0.001,Pryor,0,Porter,0,Sugarloaf,0
QAc-G-0261,/Peckerwood,Magazine,Kessler,96.831,Magazine,1.672,Pryor,1.497,Porter,0.001,Sugarloaf,0
QAc-G-0262,/Peckerwood,Magazine,Kessler,99.926,Magazine,0.053,Pryor,0.021,Porter,0,Sugarloaf,0
QAc-G-0010,/TMA,NONE,Kessler,99.997,Magazine,0.003,Pryor,0,Porter,0,Sugarloaf,0
QAc-G-0011,/TMA,NONE,Kessler,99.49,Sugarloaf,0.331,Porter,0.173,Magazine,0.007,Pryor,0
QAc-G-0015,/TMA,NONE,Pryor,93.808,Kessler,6.165,Magazine,0.026,Sugarloaf,0,Porter,0
QAc-G-0106,/TMA,Magazine,Kessler,94.636,Magazine,5.363,Pryor,0.001,Porter,0,Sugarloaf,0
QAc-G-0107,/TMA,Magazine,Magazine,95.126,Kessler,4.874,Porter,0,Sugarloaf,0,Pryor,0
QAc-G-0108,/TMA,Magazine,Magazine,86.457,Porter,13.52,Kessler,0.017,Sugarloaf,0.006,Pryor,0
QAc-G-0109,/TMA,Magazine,Magazine,99.923,Kessler,0.077,Sugarloaf,0,Pryor,0,Porter,0
QAc-G-0110,/TMA,Magazine,Magazine,99.891,Kessler,0.109,Porter,0,Sugarloaf,0,Pryor,0
QAc-G-0111,/TMA,Magazine,Kessler,99.971,Magazine,0.029,Porter,0,Sugarloaf,0,Pryor,0
QAc-G-0112,/TMA,Magazine,Kessler,99.994,Magazine,0.006,Porter,0,Sugarloaf,0,Pryor,0
QAc-G-0113,/TMA,Magazine,Magazine,99.463,Kessler,0.537,Porter,0,Pryor,0,Sugarloaf,0
QAc-G-0114,/TMA,Magazine,Kessler,61.515,Magazine,38.472,Pryor,0.013,Sugarloaf,0,Porter,0
QAc-G-0115,/TMA,Magazine,Kessler,79.457,Magazine,16.017,Porter,4.526,Sugarloaf,0,Pryor,0
QAc-G-0116,/TMA,Magazine,Kessler,97.556,Magazine,2.444,Porter,0,Sugarloaf,0,Pryor,0
QAc-G-0117,/TMA,Magazine,Magazine,94.776,Porter,2.663,Kessler,2.56,Pryor,0.001,Sugarloaf,0
QAc-G-0118,/TMA,Magazine,Kessler,98.746,Magazine,1.209,Porter,0.045,Sugarloaf,0,Pryor,0
QAc-G-0119,/TMA,Magazine,Magazine,100,Porter,0,Kessler,0,Sugarloaf,0,Pryor,0
QAc-G-0120,/TMA,Magazine,Kessler,99.996,Sugarloaf,0.004,Magazine,0,Porter,0,Pryor,0
QAc-G-0121,/TMA,Magazine,Pryor,72.698,Magazine,27.292,Porter,0.01,Kessler,0,Sugarloaf,0
QAc-G-0122,/TMA,Magazine,Magazine,71.218,Porter,22.792,Pryor,5.917,Kessler,0.073,Sugarloaf,0
QAc-G-0123,/TMA,Magazine,Kessler,95.154,Pryor,4.827,Magazine,0.017,Porter,0.002,Sugarloaf,0
QAc-G-0124,/TMA,Magazine,Pryor,99.719,Kessler,0.262,Porter,0.018,Magazine,0.001,Sugarloaf,0
QAc-G-0125,/TMA,Magazine,Magazine,99.735,Kessler,0.138,Pryor,0.126,Porter,0.001,Sugarloaf,0
QAc-G-0126,/TMA,Magazine,Kessler,58.51,Porter,20.932,Pryor,12.518,Magazine,8.04,Sugarloaf,0.001
QAc-G-0127,/TMA,Magazine,Pryor,97.565,Magazine,2.25,Porter,0.183,Kessler,0.002,Sugarloaf,0
QAc-G-0128,/TMA,Magazine,Kessler,92.773,Porter,4.74,Pryor,2.484,Magazine,0.003,Sugarloaf,0
